년도,월,원단위,월별가중치,한수원_월별할당량,수자원_월별배출량,남부발전_월별Scope3,KRX_배출권가격,동서발전_2023보정배출량
2021,1,0.674,0.0794155767644633,233638.32378932484,61086.22340049488,595734.5990338165,20292.5,0
2021,2,0.704,0.08295039472133851,244037.65570873098,63805.19476846942,622250.9758454106,19244.444444444445,0
2021,3,0.696,0.08200777659950512,241264.50053022266,63080.135737009536,615179.9420289855,19479.545454545456,0
2021,4,0.692,0.08153646753858843,239877.92294096854,62717.6062212796,611644.4251207729,16836.363636363636,0
2021,5,0.706,0.08318604925179686,244730.94450335807,63986.45952633439,624018.7342995169,18123.684210526317,0
2021,6,0.708,0.0834217037822552,245424.23329798513,64167.72428419936,625786.4927536232,16186.363636363636,0
2021,7,0.688,0.08106515847767172,238491.34535171435,62355.076705549654,608108.9082125602,19731.81818181818,0
2021,8,0.717,0.08448214916931777,248544.03287380698,64983.41569459173,633741.4057971014,25595.238095238095,0
2021,9,0.714,0.08412866737363026,247504.09968186638,64711.51855779427,631089.768115942,28778.947368421053,0
2021,10,0.712,0.08389301284317191,246810.81088723932,64530.253799929305,629322.0096618357,30297.36842105263,0
2021,11,0.719,0.08471780369977612,249237.32166843404,65164.68045245669,635509.1642512077,32011.363636363636,0
2021,12,0.757,0.08919523977848474,262409.8087663485,68608.71085189113,669096.5748792271,34265.90909090909,0
2022,1,0.713,0.083646175504458,246084.62259502584,67648.17526982637,653809.5404739559,32700.0,0
2022,2,0.684,0.08024401689347725,236075.57062412016,64896.70671046458,627217.0065696856,32700.0,0
2022,3,0.654,0.07672454246832475,225721.37893007984,62050.359924917895,599707.488737682,25628.571428571428,0
2022,4,0.702,0.08235570154856875,242288.08564054436,66604.51478179259,643722.7172688879,22404.761904761905,0
2022,5,0.693,0.081299859221023,239181.82813233224,65750.61074612857,635469.8619192867,21800.0,0
2022,6,0.733,0.08599249178789302,252987.4170577194,69545.73979352418,672149.2190286252,18010.0,0
2022,7,0.741,0.08693101830126702,255748.53484279686,70304.7656030033,679485.0904504928,25271.428571428572,0
2022,8,0.755,0.08857343969967152,260580.49096668232,71633.06076959174,692322.8654387612,27661.363636363636,0
2022,9,0.731,0.08575786015954952,252297.13761145005,69355.9833411544,670315.2511731582,25667.5,0
2022,10,0.684,0.08024401689347725,236075.57062412016,64896.70671046458,627217.0065696856,22944.736842105263,0
2022,11,0.689,0.08083059596433599,237801.26923979353,65371.09784138902,631801.9262083529,18547.727272727272,0
2022,12,0.745,0.08740028155795403,257129.09373533557,70684.27850774286,683153.0261614267,14804.761904761905,0
2023,1,0.76,0.09047619047619047,266178.32857142854,71851.03333333333,607014.8952380952,16050.0,0
2023,2,0.738,0.08785714285714286,258473.16642857142,69771.135,589443.4114285714,16050.0,0
2023,3,0.726,0.08642857142857142,254270.3507142857,68636.64499999999,579858.9657142857,12800.0,0
2023,4,0.674,0.08023809523809523,236058.14928571426,63720.52166666666,538326.3676190476,14650.0,0
2023,5,0.686,0.08166666666666667,240260.965,64855.011666666665,547910.8133333334,11250.0,0
2023,6,0.689,0.08202380952380951,241311.6689285714,65138.634166666656,550306.9247619046,11140.47619047619,0
2023,7,0.7,0.08333333333333333,245164.25,66178.58333333333,559092.6666666666,10457.142857142857,0
2023,8,0.69,0.08214285714285713,241661.90357142853,65233.17499999999,551105.6285714285,8322.727272727272,0
2023,9,0.696,0.08285714285714285,243763.3114285714,65800.42,555897.8514285714,10460.526315789473,0
2023,10,0.692,0.08238095238095237,242362.37285714285,65422.25666666666,552703.0361904762,11731.578947368422,0
2023,11,0.658,0.07833333333333334,230454.39500000002,62207.86833333334,525547.1066666667,9495.0,0
2023,12,0.691,0.08226190476190476,242012.1382142857,65327.71583333333,551904.3323809523,9035.263157894737,0
2024,1,0.681,0.08411561264822134,229073.4778903162,67533.98604249011,512174.5820158103,8610.0,0
2024,2,0.703,0.08683300395256917,236473.79582509882,69715.70071640317,528720.6037549407,8610.0,0
2024,3,0.696,0.0859683794466403,234119.14920948615,69021.51877470355,523455.96047430823,8610.0,0
2024,4,0.693,0.08559782608695651,233110.01494565216,68724.01222826086,521199.68478260865,8610.0,0
2024,5,0.637,0.0786808300395257,214272.842020751,63170.55669466403,479082.53853754944,8610.0,0
2024,6,0.646,0.07979249011857707,217300.24481225296,64063.076333992096,485851.3656126482,8640.526315789473,0
2024,7,0.639,0.07892786561264822,214945.59819664032,63368.894392292495,480586.7223320158,8906.521739130434,0
2024,8,0.675,0.08337450592885376,227055.20936264822,66938.97294960475,507662.0306324111,9231.42857142857,0
2024,9,0.656,0.08102766798418973,220664.02569169961,65054.76482213439,493372.2845849803,9811.111111111111,0
2024,10,0.62,0.07658102766798419,208554.4145256917,61484.686264822136,466296.976284585,10916.5,0
2024,11,0.695,0.08584486166007904,233782.77112154147,68922.34992588931,522703.868577075,11580.952380952382,0
2024,12,0.755,0.09325592885375494,253965.45639822134,74872.48085474309,567829.3824110673,9984.5,0
